Title,Author
The Vampire Gideon's Suicide Hotline and Halfway House for Orphaned Girls,Andrew Katz
The Way of the Worm,Ramsey Campbell
The Sarcastic Ghost,J.S. Giles
An Awkward Age,Anna Starobinets
What Was Your Name Downriver? (The Shattered Frontier #1),Anthony Lowe
Strange Medicine,Mike Russell
I Served the King of England,Bohumil Hrabal
The Underground Moon,Melissa K. Magner
Life and Death Are Wearing Me Out,Mo Yan
It Devours! (Welcome to Night Vale\, #2),Joseph Fink
Death Goes to the Dogs,Anna Tambour
The Last Tale of the Flower Bride,Roshani Chokshi
Writing That Risks: New Work from Beyond the Mainstream,Liana Holmberg
Piper,Helen McCabe
Buck Alice And the Actor-robot,Walter Koenig
In Memory of Michelle,Sahara Foley
Evening's Empire,David Herter
The Doom Magnetic! Trilogy,William Pauley III
The Road to Somewhere far from Buxton,Michael Dartnell
The Dealings of Daniel Kesserich,Fritz Leiber
Fighting Out of Mobberley\, England (Zombie #1),G.B. Hope
Y is for Fidelity,Logan Ryan Smith
Stirring Creatures: Holiday Special (The Village\, #3.5),Darien Cox
Meddling Kids,Edgar Cantero
The Fever,Megan Abbott
One Bronze Knuckle,Kenneth Hunter Gordon
Visions from Brichester,Ramsey Campbell
Hannah Green and Her Unfeasibly Mundane Existence,Michael Marshall Smith
Ugly Man,Dennis Cooper
Tomorrow's End (The Path of a Savior\, #1),G.R. Morris
Scary Stories to Tell in the Dark (Scary Stories\, 1),Alvin Schwartz
Songs of a Dead Dreamer,Thomas Ligotti
In the Night Garden (The Orphan's Tales\, #1),Catherynne M. Valente
Life of Pi,Yann Martel
The Dead and the Dark,Courtney Gould
Frankissstein,Jeanette Winterson
The Alchemaster's Apprentice (Zamonia\, #5),Walter Moers
Liar\, Dreamer\, Thief,Maria Dong
MirrorMask,Neil Gaiman
The Nuclear Platypus Biscuit Bible,Pope Gus Rasputin Nishnabotna Sni-A-Bar
Unholy Dimensions: Lovecraftian Tales,Jeffrey Thomas
The House of Cthulhu: Tales of the Primal Land Vol. 1,Brian Lumley
The Wanderer,Timothy J. Jarvis
Death Note: Another Note - The Los Angeles BB Murder Cases,NisiOisiN
ODY-C\, Vol. 1: Off to Far Ithicaa,Matt Fraction
The Art of Mutual Pleasure,K.A. Merikan
Puppet Skin,Danger Slater
Threats,Amelia Gray
Pickle Party,D.B. Tarpley
Omon Ra,Victor Pelevin
Ham on Rye,Charles Bukowski
CRIES FROM THE DEEP,Anthony Hulse
The Hurtin' Club,Martin Bladh
Grimus,Salman Rushdie
Gulping's Recital,Russell Edson
Silently and Very Fast,Catherynne M. Valente
The Riverman (The Riverman Trilogy\, #1),Aaron Starmer
Don't Tell a Soul,Kirsten Miller
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll
Mouthful of Birds,Samanta Schweblin
A House with Good Bones,T. Kingfisher
Child of Fire (Twenty Palaces\, #1),Harry Connolly
Dreams of the Dead (The Waking\, #1),Christopher Golden
Channel SK1N,Jeff Noon
Tarra Khash: Hrossak!: Tales of the Primal Land,Brian Lumley
Digger: The Complete Omnibus,Ursula Vernon
The Lie Tree,Frances Hardinge
The New and Improved Romie Futch,Julia  Elliott
Sip,Brian Allen Carr
Normal People,Sally Rooney
The Three Impostors and Other Stories (The Best Weird Tales of Arthur Machen #1),Arthur Machen
WHY GOOD MEN KILL: An uplifting tragedy,James Lilley
Confessions of an Ugly Stepsister,Gregory Maguire
The Shadow\, The Darkness,Thomas Ligotti
The Habitation of the Blessed (A Dirge for Prester John\, #1),Catherynne M. Valente
The Whisper (The Riverman Trilogy\, #2),Aaron Starmer
Amatka,Karin Tidbeck
Sister\, Maiden\, Monster,Lucy A. Snyder
The Waking Dark,Robin Wasserman
The Four Fingers of Death,Rick Moody
Sorcery in Shad: Tales of the Primal Land,Brian Lumley
Sputnik Sweetheart,Haruki Murakami
Blackwood: A Gotheim Fantasy Tale (Gotheim\, #1),Clyde  Davis
The White People and Other Stories (The Best Weird Tales of Arthur Machen #2),Arthur Machen
Neverhome,Laird Hunt
Bound by Fate and Blood (Arsinoëphorus Alliance\, Book 1),Jenna O'Malley
My Shadow Book,Jordan A. Rothacker
Freshwater,Akwaeke Emezi
All Hallows,Christopher Golden
Skary Childrin and the Carousel of Sorrow,Katy Towell
Dead Reckoning,M. Cid D'Angelo
The High House,James Stoddard
The Terror and Other Stories (The Best Weird Tales of Arthur Machen #3),S.T. Joshi
Stone Forged (Ailigh Wars Saga #2),Peter J. Merrigan
Friday Black,Nana Kwame Adjei-Brenyah
Cows,Matthew Stokoe
River Woman\, River Demon: A Novel,Jennifer Givhan
At Fear's Altar,Richard Gavin
Amrita,Banana Yoshimoto
The False House (The High House\, #2),James Stoddard
The Dragons of Babel,Michael Swanwick
Stone Heart  (Ailigh Wars Saga #1),Peter J. Merrigan
Strange but True,John Searles
The City in the Middle of the Night,Charlie Jane Anders
Teatro Grottesco,Thomas Ligotti
Don't Fear the Reaper (The Indian Lake Trilogy\, #2),Stephen Graham Jones
The Little Girl Who Was Forgotten by Absolutely Everyone,Katy Towell
The Sinner,K. Trap Jones
The King in the Window,Adam Gopnik
Snuff,Chuck Palahniuk
The Genie-alogy of Nathan Levy,G.B. Hope
Lynch (Rider\, #2),Peter J. Merrigan
A Study in Emerald,Neil Gaiman
Il Codice di Perelà,Aldo Palazzeschi
The Book of Joan,Lidia Yuknavitch
Arch-Conspirator,Veronica Roth
Snow White,Matt Phelan
Jesus’ Son,Denis Johnson
The Haunted Dolls' House and Other Ghost Stories,M.R. James
The Camel Trail,Peter J. Merrigan
Love and Other Pranks,Tony Vigorito
The Babysitter Lives,Stephen Graham Jones
The Evil Wizard Smallbone,Delia Sherman
Rider,Peter J. Merrigan
You are Eating an Orange. You are Naked.,Sheung-King
The Complete Cthulhu Mythos Tales,H.P. Lovecraft
We Are Legion (We Are Bob) (Bobiverse\, #1),Dennis E. Taylor
Such Sharp Teeth,Rachel   Harrison
Open Your Eyes,Paul Jessup
Beasts of Tabat (Tabat Quartet\, #1),Cat Rambo
Shadows of Carcosa: Tales of Cosmic Horror by Lovecraft\, Chambers\, Machen\, Poe\, and Other Masters of the Weird (New York Review Books Classics),H.P. Lovecraft
Oona Out of Order,Margarita Montimore
Mudflap: The Gloves Come Off (Mudflap #2),Jay Alden Bailey
Slow Boat (Japanese Novellas),Hideo Furukawa
Jagannath,Karin Tidbeck
My Heart Is a Chainsaw (The Indian Lake Trilogy\, #1),Stephen Graham Jones
Cyber Circus\, & Black Sunday,Kim Lakin-Smith
The Dark Boatman: Tales of Horror and the Cthulhu Mythos,John Glasby
Viriconium Nights,M. John Harrison
Mudflap,Jay Alden Bailey
Before the Coffee Gets Cold (Before the Coffee Gets Cold\, #1),Toshikazu Kawaguchi
On Safari in R'lyeh and Carcosa with Gun and Camera,Elizabeth Bear
Ghost Eaters,Clay McLeod Chapman
The Borribles (The Borrible Trilogy #1),Michael de Larrabeiti
A Year in the Linear City,Paul Di Filippo
He Who Walks in Shadow,Brett J. Talley
In Viriconium,M. John Harrison
Junky,William S. Burroughs
Rant: An Oral Biography of Buster Casey,Chuck Palahniuk
Winterwood,Patrick McCabe
The Particular Sadness of Lemon Cake,Aimee Bender
Bound by Oath and Heart: Arsinoëphorus Alliance (Book 2),Jenna O'Malley
These Deathless Bones,Cassandra Khaw
The Raw Shark Texts,Steven  Hall
Down Among the Sticks and Bones (Wayward Children\, #2),Seanan McGuire
The Alchemy of Stone,Ekaterina Sedia
Haggopian and Other Stories,Brian Lumley
A Storm of Wings,M. John Harrison
14 (Threshold\, #1),Peter Clines
Cult Classic,Sloane Crosley
The Unit,Ninni Holmqvist
When Women Were Dragons,Kelly Barnhill
Metropolitan (Metropolitan\, #1),Walter Jon Williams
Terminal World,Alastair Reynolds
Tropic of Cancer (Tropic\, #1),Henry Miller
The Keep,Jennifer Egan
Lesser Known Monsters of the 21st Century,Kim Fu
City on Fire (Metropolitan #2),Walter Jon Williams
Mrs. Midnight and Other Stories,Reggie Oliver
The Honey Month,Amal El-Mohtar
The Hastur Cycle: 13 Tales That Created and Define Dread Hastur\, of the King in Yellow\, Nighted Yuggoth\, and Dire Carcosa (Call of Cthulhu Books),Robert M. Price
The Drowned Life,Jeffrey Ford
The Labrador Pact,Matt Haig
Nettle & Bone,T. Kingfisher
The Horror Stories of Robert E. Howard,Robert E. Howard
The Rise of Ransom City (The Half-Made World\, #2),Felix Gilman
The Shub-Niggurath Cycle: Tales of the Black Goat with a Thousand Young,Robert M. Price
The Ticket That Exploded (The Nova Trilogy #3),William S. Burroughs
Shade\, the Changing Man: The American Scream,Peter Milligan
Diary of an Oxygen Thief,Anonymous
When Mystical Creatures Attack!,Kathleen Founds
Hotel Magnifique,Emily J. Taylor
Stations of the Tide,Michael Swanwick
The Traitor,Michael Cisco
The Azathoth Cycle: Tales of the Blind Idiot God,Robert M. Price
Yume No Hon: The Book of Dreams,Catherynne M. Valente
Shade\, the Changing Man\, Volume 2: Edge of Vision,Peter Milligan
Generation Loss (Cass Neary\, #1),Elizabeth Hand
How to Sell a Haunted House,Grady Hendrix
Soldiers of Paradise (The Starbridge Chronicles\, #1),Paul Park
Animal Money,Michael Cisco
In a Lonely Place,Karl Edward Wagner
Gears of the City,Felix Gilman
Dreaming In The Snakepark,Allan Watson
Invisible,Paul Auster
The Nyarlathotep Cycle,Robert M. Price
Shade\, the Changing Man\, Volume 3: Scream Time,Peter Milligan
The Complete Cosmicomics,Italo Calvino
As She Climbed Across the Table,Jonathan Lethem
Gallant,V.E. Schwab
Sugar Rain (The Starbridge Chronicles\, #2),Paul Park
The San Veneficio Canon,Michael Cisco
Collected Stories,T.E.D. Klein
The New Weird,Ann VanderMeer
The Dunwich Cycle: Where the Old Gods Wait,Robert M. Price
The Western Lands (The Red Night Trilogy\,. #3),William S. Burroughs
Skip,Molly Mendoza
Gun\, With Occasional Music,Jonathan Lethem
The Candy House,Jennifer Egan
Rupetta,Nike Sulway
The Cult of Loving Kindness (The Starbridge Chronicles\, #3),Paul Park
The Tyrant,Michael Cisco
The Cthulhu Cycle: Thirteen Tentacles of Terror,Robert M. Price
Fabulous Stories Presents: Astronauts\, Nirbles\, and Dimension 0,John Roberts-Zibbel
The Portrait of Mrs. Charbuque,Jeffrey Ford
Moon Witch\, Spider King (The Dark Star Trilogy\, #2),Marlon James
Member,Michael Cisco
The Emperor of Dreams,Clark Ashton Smith
The Innsmouth Cycle: The Taint of the Deep Ones,Robert M. Price
Fabulous Stories Presents: There is Room for Everything in Dimension Zero,John Roberts-Zibbel
Outside the Dog Museum (Answered Prayers\, #4),Jonathan Carroll
Dead Silence,S.A. Barnes
Rats and Gargoyles (White Crow Sequence #1),Mary Gentle
The Ithaqua Cycle: The Wind-Walker of the Icy Wastes,James Ambuehl
X'ed Out,Charles Burns
Nine Kinds Of Naked,Tony Vigorito
Lovecraft Country,Matt Ruff
The End of the Story,Clark Ashton Smith
Dead Babies,Martin Amis
The Tsathoggua Cycle: Terror Tales of the Toad God,Robert M. Price
The Hive,Charles Burns
Gravity's Rainbow,Thomas Pynchon
Mort(e) (War with No Name\, #1),Robert Repino
Light from Uncommon Stars,Ryka Aoki
The Fecund's Melancholy Daughter,Brent Hayward
Move Under Ground,Nick Mamatas
Ghosts and Grinning Shadows: Two Witch Stories,Helen Adam
The Antarktos Cycle,Robert M. Price
Sugar Skull,Charles Burns
Fool on the Hill,Matt Ruff
Black Leopard\, Red Wolf (The Dark Star Trilogy\, #1),Marlon James
Saraband of Lost Time,Richard  Grant
The Imago Sequence and Other Stories,Laird Barron
Mysteries of the Worm,Robert Bloch
The Opal,Gustav Meyrink
Narcopolis,Jeet Thayil
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman
The Xothic Legend Cycle: The Complete Mythos Fiction of Lin Carter,Robert M. Price
Sleeping in Flame (Answered Prayers\, #2),Jonathan Carroll
My Best Friend's Exorcism,Grady Hendrix
The Yith Cycle: Tales of the Great Race,Robert M. Price
DC/Young Animal: Milk Wars,Steve Orlando
The Land of Laughs,Jonathan Carroll
The River Has Teeth,Erica Waters
Frisk,Dennis Cooper
The Tindalos Cycle,Robert M. Price
Doom Patrol\, Vol. 1: Crawling from the Wreckage,Grant Morrison
Just A Couple Of Days,Tony Vigorito
Black Sun (Between Earth and Sky\, #1),Rebecca Roanhorse
The Collected Fiction\, Vol. 2: The House on the Borderland and Other Mysterious Places,William Hope Hodgson
You Will Know Me,Megan Abbott
The Klarkash-Ton Cycle: The Lovecraftian Fiction of Clark Ashton Smith (Chaosium Fiction),Clark Ashton Smith
Doom Patrol\, Vol. 2: The Painting That Ate Paris,Grant Morrison
The Just City,Jo Walton
Wayward (Wanderers\, #2),Chuck Wendig
Doom Patrol\, Vol. 3: Down Paradise Way,Grant Morrison
Seven Empty Houses,Samanta Schweblin
Mostly Dead Things,Kristen Arnett
Genius Loci and Other Tales,Clark Ashton Smith
Doom Patrol\, Vol. 4: Musclebound,Grant Morrison
Expect Me Tomorrow,Christopher Priest
Cloud Cuckoo Land,Anthony Doerr
Out of Space and Time: Volume 1,Clark Ashton Smith
Doom Patrol\, Vol. 5: Magic Bus,Grant Morrison
Liberation Day: Stories,George Saunders
Glass (Crank\, #2),Ellen Hopkins
Out of Space and Time: Volume 2,Clark Ashton Smith
Doom Patrol\, Vol. 6: Planet Love,Grant Morrison
Has Anyone Seen My Toes?,Christopher Buckley
Within These Wicked Walls,Lauren Blackwood
Doom Patrol: Book One,Grant Morrison
We Spread,Iain Reid
Crank (Crank\, #1),Ellen Hopkins
Doom Patrol: Book Two,Grant Morrison
Thrust,Lidia Yuknavitch
Doom Patrol: Book Three,Grant Morrison
The Gradual,Christopher Priest
When No One Is Watching,Alyssa Cole
Year's Best Weird Fiction\, Vol. 3,Simon Strantzas
The Doom Patrol Omnibus,Grant Morrison
The Prestige,Christopher Priest
Shutter Island,Dennis Lehane
Year's Best Weird Fiction\, Vol. 4,Michael  Kelly
Giraffes on Horseback Salad: Salvador Dali\, the Marx Brothers\, and the Strangest Movie Never Made,Josh Frank
Inverted World,Christopher Priest
The Hollow Places,T. Kingfisher
Year's Best Weird Fiction\, Vol. 5,Robert Shearman
Beanworld\, Vol. 1: Wahoolazuma!,Larry Marder
The Quiet Woman,Christopher Priest
Harrow the Ninth (The Locked Tomb\, #2),Tamsyn Muir
The Moon Pool,A. Merritt
Beanworld\, Vol. 2: A Gift Comes!,Larry Marder
The Widow of Ratchets,Owen Brookes
The Glamour,Christopher Priest
Darkdawn (The Nevernight Chronicle\, #3),Jay Kristoff
The Metal Monster,A. Merritt
Beanworld\, Vol. 3: Remember Here When You are There!,Larry Marder
The Priory,Margaret Wasser
The Separation,Christopher Priest
Godsgrave (The Nevernight Chronicle\, #2),Jay Kristoff
The Nightmare and Other Tales of Dark Fantasy,Francis Stevens
Beanworld Volume 4: Hoka Hoka Burb'l Burb'l,Larry Marder
The Wolves of Paris,Daniel P. Mannix
The Adjacent,Christopher Priest
Rant,Chuck Palahniuk
The Citadel of Fear,Francis Stevens
The Invisibles,Grant Morrison
Blood Red\, Sister Rose,Thomas Keneally
The Affirmation,Christopher Priest
Baby Teeth,Zoje Stage
Black Gods and Scarlet Dreams,C.L. Moore
Out of Body,Jeffrey Ford
Devolution,Max Brooks
Jirel of Joiry,C.L. Moore
Traveller,Richard  Adams
The Twilight Pariah,Jeffrey Ford
The Girl in a Swing,Richard  Adams
A Natural History of Hell,Jeffrey Ford
The Only Good Indians,Stephen Graham Jones
The King Is a Witch,Evelyn Eaton
The Girl in the Glass,Jeffrey Ford
The Kingdom of Back,Marie Lu
Wool Omnibus (Silo\, #1),Hugh Howey
Big Dark Hole: And Other Stories,Jeffrey Ford
Gideon the Ninth (The Locked Tomb\, #1),Tamsyn Muir
Orlando,Virginia Woolf
I'm Thinking of Ending Things,Iain Reid
Choke,Chuck Palahniuk
A Swell-Looking Babe,Jim Thompson
A Child Across the Sky,Jonathan Carroll
The Getaway,Jim Thompson
The Heidelberg Cylinder,Jonathan Carroll
The Kingdom,Jess Rothenberg
Second Book of Horror Stories,Dennis Wheatley
Bones of the Moon (Answered Prayers\, #1),Jonathan Carroll
Kafkaesque: Fourteen Stories,Peter Kuper
To the Devil a Daughter (Molly Fountain\, #1) (Black Magic\, #4),Dennis Wheatley
White Apples (Vincent Ettrich\, #1),Jonathan Carroll
Doll Bones,Holly Black
The Complete Stories,Franz Kafka
The Devil Rides Out (Black Magic\, #1),Dennis Wheatley
The Marriage of Sticks  (Crane's View\, #2),Jonathan Carroll
The Shape of Water,Guillermo del Toro
Evil in a Mask (Roger Brook\, #9),Dennis Wheatley
Voice of Our Shadow,Jonathan Carroll
A Wrinkle in Time (Time Quintet\, #1),Madeleine L'Engle
The Rising Storm (Roger Brook\, #3),Dennis Wheatley
From the Teeth of Angels (Answered Prayers\, #6),Jonathan Carroll
Certain Dark Things,Silvia Moreno-Garcia
The Man Who Killed the King (Roger Brook\, #4),Dennis Wheatley
After Silence (Answered Prayers\, #5),Jonathan Carroll
Coraline,Neil Gaiman
The Launching of Roger Brook (Roger Brook\, #1),Dennis Wheatley
The Panic Hand,Jonathan Carroll
Himself,Jess Kidd
The Haunting of Toby Jugg (Black Magic\, #3),Dennis Wheatley
Black Cocktail,Jonathan Carroll
The Power,Naomi Alderman
Angelica And Francesca,Kenneth Jarrett Singleton
Teaching the Dog to Read,Jonathan Carroll
The Road,Cormac McCarthy
Quicksilver (The Baroque Cycle\, #1),Neal Stephenson
The Darkest Part of the Forest,Holly Black
A Gracious Plenty,Sheri Reynolds
The Wild Robot (The Wild Robot\, #1),Peter  Brown
The Dress Lodger,Sheri Holman
Eclipse of the Sun (Children of the Last Days #3),Michael D. O'Brien
She Walks These Hills (Ballad\, #3),Sharyn McCrumb
The Tokaido Road: A Novel of Feudal Japan,Lucia St. Clair Robson
Wuthering Heights,Emily Brontë
Bait,J. Kent Messum
The Witch Of Prague & Other Stories,F. Marion Crawford
The Witch and the Priest,Hilda Lewis
The Beach,Alex Garland
On the Beach,Nevil Shute
Moscow Mists,Clarissa Ross
What Ever Happened to Baby Jane?,Henry Farrel
The Night of the Hunter,Davis Grubb
Jassy,Norah Lofts
Joe,Larry Brown
Fay,Larry Brown
Some Must Watch,Ethel Lina White
She,H. Rider Haggard
King Solomon's Mines,H. Rider Haggard
The Monk,Matthew Gregory Lewis
The Swords of December: A Novel,Robert York
The Plague Tales (The Plague Tales\, #1),Ann  Benson
The Nonsuch Lure,Mary M. Luke
Half Broken Things,Morag Joss
Bedelia,Vera Caspary
The Moonstone,Wilkie Collins
The Sparrow (The Sparrow\, #1),Mary Doria Russell
The 101 Dalmatians (The Hundred and One Dalmatians\, #1),Dodie Smith
The Snow Goose,Paul Gallico
