Title,Author
The Stand,Stephen King
The Road,Cormac McCarthy
The Hunger Games (The Hunger Games\, #1),Suzanne Collins
1984,George Orwell
World War Z: An Oral History of the Zombie War,Max Brooks
Fahrenheit 451,Ray Bradbury
The Handmaid’s Tale (The Handmaid's Tale\, #1),Margaret Atwood
Catching Fire (The Hunger Games\, #2),Suzanne Collins
The Passage (The Passage\, #1),Justin Cronin
I Am Legend and Other Stories,Richard Matheson
Swan Song,Robert R. McCammon
Mockingjay (The Hunger Games\, #3),Suzanne Collins
The Giver (The Giver\, #1),Lois Lowry
The Gunslinger (The Dark Tower\, #1),Stephen King
Oryx and Crake (MaddAddam\, #1),Margaret Atwood
Alas\, Babylon,Pat Frank
Divergent (Divergent\, #1),Veronica Roth
Earth Abides,George R. Stewart
Lucifer's Hammer,Larry Niven
A Canticle for Leibowitz (St. Leibowitz\, #1),Walter M. Miller Jr.
Do Androids Dream of Electric Sheep?,Philip K. Dick
On the Beach,Nevil Shute
The Day of the Triffids,John Wyndham
Wool Omnibus (Silo\, #1),Hugh Howey
Dome: Rebellion (Dome\, #1),Johnathon Nicolaou
One Second After (After\, #1),William R. Forstchen
The Postman,David Brin
The Time Machine,H.G. Wells
The Host (The Host\, #1),Stephenie Meyer
The War of the Worlds,H.G. Wells
The Maze Runner (The Maze Runner\, #1),James Dashner
Station Eleven,Emily St. John Mandel
Life As We Knew It (Last Survivors\, #1),Susan Beth Pfeffer
Cat's Cradle,Kurt Vonnegut Jr.
Uglies (Uglies\, #1),Scott Westerfeld
The City of Ember (Book of Ember\, #1),Jeanne DuPrau
The Year of the Flood (MaddAddam\, #2),Margaret Atwood
Blindness,José Saramago
The Walking Dead: Compendium One,Robert Kirkman
The Long Walk,Richard Bachman
The Waste Lands (The Dark Tower\, #3),Stephen King
I Am Legend,Richard Matheson
Never Let Me Go,Kazuo Ishiguro
V for Vendetta,Alan Moore
The Children of Men,P.D. James
Y: The Last Man\, Vol. 1: Unmanned,Brian K. Vaughan
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter\, Witch,Terry Pratchett
Parable of the Sower (Earthseed\, #1),Octavia E. Butler
The Forest of Hands and Teeth (The Forest of Hands and Teeth\, #1),Carrie Ryan
Insurgent (Divergent\, #2),Veronica Roth
Dies the Fire (Emberverse\, #1),S.M. Stirling
Unwind (Unwind\, #1),Neal Shusterman
Neuromancer (Sprawl\, #1),William Gibson
Of Monsters And Planes,Johnathon Nicolaou
Feed (Newsflesh\, #1),Mira Grant
Snow Crash,Neal Stephenson
The Dog Stars,Peter Heller
The Martian Chronicles,Ray Bradbury
The Running Man,Richard Bachman
The Chrysalids,John Wyndham
Pretties (Uglies\, #2),Scott Westerfeld
Robopocalypse (Robopocalypse\, #1),Daniel H. Wilson
Into the Forest,Jean Hegland
Delirium (Delirium\, #1),Lauren Oliver
Z for Zachariah,Robert C. O'Brien
A Different Alchemy (The Great De-evolution),Chris Dietzel
Wool (Wool\, #1),Hugh Howey
Under the Dome,Stephen King
Galápagos,Kurt Vonnegut Jr.
Logan's Run,William F. Nolan
Riddley Walker,Russell Hoban
Cloud Atlas,David Mitchell
Specials (Uglies\, #3),Scott Westerfeld
Wastelands: Stories of the Apocalypse (Wastelands #1),John Joseph Adams
The Girl with All the Gifts (The Girl with All the Gifts\, #1),M.R. Carey
The Twelve (The Passage\, #2),Justin Cronin
The Walking Dead\, Vol. 1: Days Gone Bye,Robert Kirkman
Rot & Ruin (Rot & Ruin\, #1),Jonathan Maberry
Day by Day Armageddon (Day by Day Armageddon\, #1),J.L. Bourne
